user,item,skill,correct,wins,fails
0,0,0,1,1,0
0,1,0,1,2,0
0,2,0,1,3,0
0,3,0,1,4,0
0,4,0,1,5,0
0,5,1,1,1,0
0,6,0,1,6,0
0,7,0,1,7,0
0,8,1,1,2,0
0,9,0,1,8,0
0,10,0,1,9,0
0,11,1,1,3,0
0,12,2,1,1,0
0,13,2,0,1,1
0,13,2,1,2,1
0,14,2,1,3,1
0,15,3,1,1,0
0,16,3,1,2,0
0,17,3,1,3,0
0,18,0,1,10,0
0,19,0,0,10,1
0,19,0,1,11,1
0,20,1,1,4,0
0,21,0,1,12,1
0,22,0,1,13,1
0,23,0,0,13,2
0,23,0,1,14,2
0,24,1,0,4,1
0,24,1,1,5,1
0,25,0,1,15,2
0,26,1,1,6,1
0,27,0,1,16,2
0,28,4,0,0,1
0,28,4,1,1,1
0,29,4,0,1,2
0,29,4,1,2,2
0,30,4,0,2,3
0,30,4,1,3,3
0,31,4,0,3,4
0,31,4,1,4,4
0,32,4,1,5,4
0,33,4,0,5,5
0,33,4,1,6,5
0,32,4,0,6,6
0,32,4,1,7,6
0,31,4,0,7,7
0,31,4,1,8,7
0,33,4,1,9,7
0,34,4,1,10,7
0,35,4,1,11,7
0,36,4,1,12,7
0,37,4,0,12,8
0,37,4,1,13,8
0,38,4,0,13,9
0,38,4,1,14,9
0,39,4,0,14,10
0,39,4,1,15,10
0,40,4,0,15,11
0,40,4,1,16,11
0,41,4,1,17,11
0,42,4,0,17,12
0,42,4,1,18,12
0,43,4,0,18,13
0,43,4,1,19,13
0,44,4,0,19,14
0,44,4,1,20,14
0,45,4,1,21,14
0,46,4,0,21,15
0,46,4,1,22,15
0,47,4,0,22,16
0,47,4,1,23,16
0,48,4,1,24,16
0,49,4,1,25,16
0,50,4,1,26,16
0,51,4,1,27,16
0,52,4,1,28,16
0,53,4,0,28,17
0,53,4,1,29,17
0,54,4,1,30,17
0,55,4,1,31,17
0,55,4,1,32,17
0,55,4,1,33,17
0,55,4,1,34,17
0,55,4,1,35,17
0,56,5,1,1,0
0,57,5,0,1,1
0,57,5,1,2,1
0,58,5,1,3,1
0,59,5,0,3,2
0,59,5,1,4,2
0,60,6,0,0,1
0,60,6,1,1,1
0,61,5,0,4,3
0,61,5,1,5,3
0,62,5,1,6,3
0,63,6,0,1,2
0,63,6,1,2,2
0,64,6,1,3,2
0,65,6,1,4,2
0,66,5,0,6,4
0,66,5,1,7,4
0,67,6,1,5,2
0,68,6,1,6,2
0,69,6,1,7,2
0,70,5,1,8,4
0,71,6,0,7,3
0,71,6,1,8,3
0,72,6,1,9,3
0,73,6,1,10,3
